time_stamp,Pulsometer_readout,Engine_efficiency,red_Value,blue_Value,green_Value
2018-01-01T08:01:50Z,111,82.75698396387631,199,129,197
2018-01-01T08:01:51Z,112,76.17790733486362,214,128,210
2018-01-01T08:01:52Z,113,78.79597625206236,227,126,220
2018-01-01T08:01:53Z,114,83.28912293350217,237,127,231
2018-01-01T08:01:54Z,115,81.78483670156912,245,125,237
2018-01-01T08:01:55Z,116,75.26941439275949,251,124,241
2018-01-01T08:01:56Z,117,82.39258152713025,254,127,247
2018-01-01T08:01:57Z,118,80.32912289167348,254,125,246
2018-01-01T08:01:58Z,119,82.26138794243568,252,125,244
2018-01-01T08:01:59Z,120,76.78828092651935,248,127,242
2018-01-01T08:02:00Z,121,84.83467806656866,241,129,236
2018-01-01T08:02:01Z,122,89.0683079164425,231,129,228
2018-01-01T08:02:02Z,123,89.23744297438377,220,126,214
2018-01-01T08:02:03Z,124,79.82649271312391,206,126,201
2018-01-01T08:02:04Z,125,75.86977491883216,190,127,186
2018-01-01T08:02:05Z,126,67.97403127928813,172,129,170
2018-01-01T08:02:06Z,127,83.81166237806087,152,125,149
2018-01-01T08:02:07Z,128,77.7257471068446,131,127,130
2018-01-01T08:02:08Z,129,85.01448357148817,108,129,111
2018-01-01T08:02:09Z,130,81.93663667605978,85,130,89
2018-01-01T08:02:10Z,131,76.05782594261711,61,128,64
2018-01-01T08:02:11Z,132,81.89445714034636,35,126,38
2018-01-01T08:02:12Z,133,79.08414605127794,10,126,14
2018-01-01T08:02:13Z,134,78.24500265138386,14,128,20
2018-01-01T08:02:14Z,135,80.42186777686094,40,126,43
2018-01-01T08:02:15Z,136,76.96559388635082,65,130,70
2018-01-01T08:02:16Z,137,76.94518131267166,89,127,90
2018-01-01T08:02:17Z,138,83.42509665407617,112,129,114
2018-01-01T08:02:18Z,139,70.08716504780551,135,125,131
2018-01-01T08:02:19Z,140,79.30643262386498,156,131,157
2018-01-01T08:02:20Z,141,83.61791329064485,175,128,173
2018-01-01T08:02:21Z,142,84.67759214216679,192,127,189
2018-01-01T08:02:22Z,143,79.52939608666678,208,125,202
2018-01-01T08:02:23Z,144,76.43467744308273,222,129,218
2018-01-01T08:02:24Z,145,80.87351038782994,233,131,231
2018-01-01T08:02:25Z,146,75.66219049574465,242,128,237
2018-01-01T08:02:26Z,147,82.27036630238794,249,128,243
2018-01-01T08:02:27Z,148,80.82449240267559,253,132,251
2018-01-01T08:02:28Z,149,71.68920667420419,254,129,250
2018-01-01T08:02:29Z,150,84.54738520802421,254,128,248
2018-01-01T08:02:30Z,151,77.85794583979789,250,129,246
2018-01-01T08:02:31Z,152,78.13817539240546,244,126,236
2018-01-01T08:02:32Z,153,77.82911854097962,236,126,228
2018-01-01T08:02:33Z,154,78.6638589688071,225,123,216
2018-01-01T08:02:34Z,155,81.12360306013866,212,127,207
2018-01-01T08:02:35Z,156,78.28201709065657,197,128,193
2018-01-01T08:02:36Z,157,82.3076249875613,179,127,176
2018-01-01T08:02:37Z,158,76.08401400991701,160,127,159
2018-01-01T08:02:38Z,159,83.68112352408863,140,126,138
2018-01-01T08:02:39Z,160,86.15031179560357,118,128,119
2018-01-01T08:02:40Z,161,84.20598445363443,95,128,97
2018-01-01T08:02:41Z,162,79.13898105626798,71,127,73
2018-01-01T08:02:42Z,163,75.0012329505136,46,124,47
2018-01-01T08:02:43Z,164,82.86567748094065,21,129,28
2018-01-01T08:02:44Z,165,79.84908459994008,4,126,8
2018-01-01T08:02:45Z,166,85.26966616323848,29,129,35
2018-01-01T08:02:46Z,167,85.56026346991436,54,129,59
2018-01-01T08:02:47Z,168,79.01771537424102,79,127,81
2018-01-01T08:02:48Z,169,79.6994432690464,103,126,103
2018-01-01T08:02:49Z,170,78.97794037609293,125,128,126
2018-01-01T08:02:50Z,171,79.7941060219433,147,129,148
2018-01-01T08:02:51Z,172,84.49515499020222,167,131,169
2018-01-01T08:02:52Z,173,80.64413092891783,185,125,180
2018-01-01T08:02:53Z,174,80.86974536935995,202,125,196
2018-01-01T08:02:54Z,175,82.30803285768079,216,127,211
2018-01-01T08:02:55Z,176,81.80491857943076,229,128,224
2018-01-01T08:02:56Z,177,81.61949540449223,239,130,236
2018-01-01T08:02:57Z,178,78.69257301184935,246,126,239
2018-01-01T08:02:58Z,179,80.91037869988354,251,126,244
2018-01-01T08:02:59Z,180,81.54524136881616,254,128,248
2018-01-01T08:03:00Z,181,76.33238337628376,254,129,249
2018-01-01T08:03:01Z,182,80.00238372123604,252,129,247
2018-01-01T08:03:02Z,183,80.83392257392737,247,124,238
2018-01-01T08:03:03Z,184,82.55592723442403,239,133,239
2018-01-01T08:03:04Z,185,80.01915114070846,230,127,224
2018-01-01T08:03:05Z,186,75.41395769078565,217,124,210
2018-01-01T08:03:06Z,187,82.27050789247929,203,130,202
2018-01-01T08:03:07Z,188,76.24136475760422,187,129,185
2018-01-01T08:03:08Z,189,83.0852898204655,169,126,165
2018-01-01T08:03:09Z,190,80.83100811189941,149,131,150
2018-01-01T08:03:10Z,191,79.6246992679784,127,126,125
2018-01-01T08:03:11Z,192,80.14345571199229,105,129,107
2018-01-01T08:03:12Z,193,83.47666647815647,81,131,87
2018-01-01T08:03:13Z,194,79.97314706190512,56,129,61
2018-01-01T08:03:14Z,195,86.4195944886173,31,126,34
2018-01-01T08:03:15Z,196,87.41028246987563,6,128,12
2018-01-01T08:03:16Z,197,75.05430331295783,19,128,25
2018-01-01T08:03:17Z,198,77.37147900457248,44,126,47
2018-01-01T08:03:18Z,199,75.94280890230644,69,128,72
2018-01-01T08:03:19Z,200,81.72604098992306,93,127,94
2018-01-01T08:03:20Z,201,74.74855162774693,116,128,117
2018-01-01T08:03:21Z,202,80.07278616668381,138,129,139
2018-01-01T08:03:22Z,203,86.0747686930993,0,129,7
2018-01-01T08:03:23Z,204,78.37105413176437,25,128,30
2018-01-01T08:03:24Z,205,75.61749706490629,50,130,56
2018-01-01T08:03:25Z,206,81.012417810204,75,127,76
2018-01-01T08:03:26Z,207,75.9945812577368,99,127,100
2018-01-01T08:03:27Z,208,77.6673146942576,122,127,122
2018-01-01T08:03:28Z,209,79.01914613459556,143,129,144
2018-01-01T08:03:29Z,210,76.7945330054387,164,130,164
2018-01-01T08:03:30Z,211,80.28815434492756,182,126,178
2018-01-01T08:03:31Z,212,76.35103003214824,199,125,193
2018-01-01T08:03:32Z,213,85.05824909506465,214,126,208
2018-01-01T08:03:33Z,214,82.9145472469373,227,131,225
2018-01-01T08:03:34Z,215,80.28590317182406,237,129,233
2018-01-01T08:03:35Z,216,79.73122958057469,245,128,239
2018-01-01T08:03:36Z,217,86.53820445243578,251,129,246
2018-01-01T08:03:37Z,218,79.43024565105733,254,130,250
2018-01-01T08:03:38Z,219,71.444771869322,254,127,247
2018-01-01T08:03:39Z,220,74.544744427526,252,131,249
2018-01-01T08:03:40Z,221,82.28355237792293,248,127,242
2018-01-01T08:03:41Z,222,85.21148711476728,241,129,236
2018-01-01T08:03:42Z,223,83.146331242571,231,126,225
2018-01-01T08:03:43Z,224,79.24242461824133,220,129,216
2018-01-01T08:03:44Z,225,76.84538725867259,206,123,197
2018-01-01T08:03:45Z,226,79.24730995039127,190,130,188
2018-01-01T08:03:46Z,227,78.56932365587741,172,129,170
2018-01-01T08:03:47Z,228,79.41513845264873,152,129,152
2018-01-01T08:03:48Z,229,85.80802015309152,131,130,133
2018-01-01T08:03:49Z,230,83.33634952571336,108,125,107
2018-01-01T08:03:50Z,231,80.75819240741333,85,131,90
2018-01-01T08:03:51Z,232,81.59725383837079,61,126,62
2018-01-01T08:03:52Z,233,79.3208467230928,35,127,39
2018-01-01T08:03:53Z,234,80.51412060439789,10,129,18
2018-01-01T08:03:54Z,235,82.28534064247141,14,129,21
2018-01-01T08:03:55Z,236,83.7282906766676,40,130,47
2018-01-01T08:03:56Z,237,70.98862943235534,65,123,63
2018-01-01T08:03:57Z,238,80.14923363107818,89,130,93
2018-01-01T08:03:58Z,239,77.49327821897987,112,130,115
2018-01-01T08:03:59Z,240,79.57392572854269,135,127,134
2018-01-01T08:04:00Z,241,79.10450089709538,156,127,154
2018-01-01T08:04:01Z,242,82.73231988456683,175,124,169
2018-01-01T08:04:02Z,243,73.6391090144635,192,128,189
2018-01-01T08:04:03Z,244,81.18978247052178,208,127,204
2018-01-01T08:04:04Z,245,76.49149243702973,222,128,217
2018-01-01T08:04:05Z,246,81.0302209407465,233,124,225
2018-01-01T08:04:06Z,247,77.28916703429549,242,129,238
2018-01-01T08:04:07Z,248,74.64254882266997,249,127,243
2018-01-01T08:04:08Z,249,76.68738427928122,253,126,245
2018-01-01T08:04:09Z,250,85.23197547011988,254,127,247
2018-01-01T08:04:10Z,251,83.8215160954782,254,129,248
2018-01-01T08:04:11Z,252,80.42155020106476,250,129,245
2018-01-01T08:04:12Z,253,83.37441760761419,244,127,238
2018-01-01T08:04:13Z,254,80.38018739796465,236,127,230
2018-01-01T08:04:14Z,255,79.37487638274682,225,129,222
2018-01-01T08:04:15Z,256,76.91491666569648,212,128,208
2018-01-01T08:04:16Z,1,88.5316063529593,197,129,194
2018-01-01T08:04:17Z,2,82.46439675034091,179,125,174
2018-01-01T08:04:18Z,3,81.65035429334984,160,127,159
2018-01-01T08:04:19Z,4,78.05024430635113,140,129,140
2018-01-01T08:04:20Z,5,80.3781650178338,118,128,119
2018-01-01T08:04:21Z,6,83.02241984905164,95,127,96
2018-01-01T08:04:22Z,7,74.2512931234366,71,126,72
2018-01-01T08:04:23Z,8,74.56561329630452,46,130,52
2018-01-01T08:04:24Z,9,80.92793615564236,21,129,27
2018-01-01T08:04:25Z,10,83.61098903660431,4,130,12
2018-01-01T08:04:26Z,11,80.39707120015852,29,124,30
2018-01-01T08:04:27Z,12,78.69760930126427,54,123,53
2018-01-01T08:04:28Z,13,83.18228288819441,79,126,79
2018-01-01T08:04:29Z,14,74.04888260785984,103,126,103
2018-01-01T08:04:30Z,15,81.11427085494681,125,130,128
2018-01-01T08:04:31Z,16,77.93549076229414,147,128,146
2018-01-01T08:04:32Z,17,78.96052331545606,167,125,163
2018-01-01T08:04:33Z,18,81.57610368716945,185,127,182
2018-01-01T08:04:34Z,19,86.41200715522291,202,125,196
2018-01-01T08:04:35Z,20,82.28852012202242,216,129,213
2018-01-01T08:04:36Z,21,80.8719252370016,229,123,219
2018-01-01T08:04:37Z,22,86.26823520035829,239,129,234
2018-01-01T08:04:38Z,23,75.81812934717597,246,131,243
2018-01-01T08:04:39Z,24,86.73943224938559,251,129,247
2018-01-01T08:04:40Z,25,75.66036317203306,254,126,246
2018-01-01T08:04:41Z,26,73.66342883094691,254,125,245
2018-01-01T08:04:42Z,27,80.93416409310306,252,126,244
2018-01-01T08:04:43Z,28,82.34057808513357,247,130,243
2018-01-01T08:04:44Z,29,83.84038331501856,239,127,233
2018-01-01T08:04:45Z,30,85.6574204678741,230,126,223
2018-01-01T08:04:46Z,31,82.00932505583567,217,129,214
2018-01-01T08:04:47Z,32,89.20289851942655,203,128,200
2018-01-01T08:04:48Z,33,81.32447903299912,187,127,183
2018-01-01T08:04:49Z,34,81.27370406223018,169,126,165
2018-01-01T08:04:50Z,35,76.69715594606465,149,123,144
2018-01-01T08:04:51Z,36,70.93960894357363,127,127,127
2018-01-01T08:04:52Z,37,77.96219384650068,105,125,103
2018-01-01T08:04:53Z,38,78.46386193875247,81,125,81
2018-01-01T08:04:54Z,39,83.42474431513328,56,129,61
2018-01-01T08:04:55Z,40,78.88355332094103,31,129,37
2018-01-01T08:04:56Z,41,86.0345849699317,6,127,11
2018-01-01T08:04:57Z,42,77.5739266177547,19,128,25
2018-01-01T08:04:58Z,43,74.47793514395832,44,129,50
2018-01-01T08:04:59Z,44,77.61016775054755,69,129,73
2018-01-01T08:05:00Z,45,79.37103299050912,93,131,98
2018-01-01T08:05:01Z,46,78.41808215411729,116,127,116
2018-01-01T08:05:02Z,47,82.43896361025101,138,132,141
2018-01-01T08:05:03Z,48,74.6641235113984,0,127,6
2018-01-01T08:05:04Z,49,79.46267927338607,25,129,31
2018-01-01T08:05:05Z,50,78.93518491746397,50,127,53
2018-01-01T08:05:06Z,51,87.84619701751618,75,128,78
2018-01-01T08:05:07Z,52,74.49619050313001,99,128,101
2018-01-01T08:05:08Z,53,82.54046742747198,122,129,123
2018-01-01T08:05:09Z,54,78.71284204812505,143,126,142
2018-01-01T08:05:10Z,55,80.65316926574225,164,126,161
2018-01-01T08:05:11Z,56,73.33036888041777,182,128,180
2018-01-01T08:05:12Z,57,77.36300735196828,199,132,200
2018-01-01T08:05:13Z,58,78.89786320190363,214,126,208
2018-01-01T08:05:14Z,59,80.16508774605589,227,126,220
2018-01-01T08:05:15Z,60,71.01996265149079,237,128,232
2018-01-01T08:05:16Z,61,80.25991759410063,245,128,240
2018-01-01T08:05:17Z,62,77.56487088424318,251,127,244
2018-01-01T08:05:18Z,63,82.89519057031612,254,125,245
2018-01-01T08:05:19Z,64,84.36989563017065,254,126,246
2018-01-01T08:05:20Z,65,81.59059877319528,252,124,243
2018-01-01T08:05:21Z,66,84.59997053575634,248,130,244
2018-01-01T08:05:22Z,67,81.50773390440796,241,125,233
2018-01-01T08:05:23Z,68,76.40751755512018,231,132,230
2018-01-01T08:05:24Z,69,84.22811210753261,220,129,216
2018-01-01T08:05:25Z,70,75.98141789950589,206,128,202
2018-01-01T08:05:26Z,71,79.6484820975661,190,125,184
2018-01-01T08:05:27Z,72,81.61308274586703,172,129,171
2018-01-01T08:05:28Z,73,83.95155071983044,152,126,149
2018-01-01T08:05:29Z,74,82.89429613260658,131,128,131
2018-01-01T08:05:30Z,75,79.05193222924305,108,129,111
2018-01-01T08:05:31Z,76,79.75213574306339,85,127,87
2018-01-01T08:05:32Z,77,78.43618166977697,61,128,64
2018-01-01T08:05:33Z,78,78.20654285099121,35,128,40
2018-01-01T08:05:34Z,79,78.32624736262048,10,130,18
2018-01-01T08:05:35Z,80,82.6139909313654,14,127,19
2018-01-01T08:05:36Z,81,75.07283468245936,40,122,39
2018-01-01T08:05:37Z,82,78.7427685887147,65,122,63
2018-01-01T08:05:38Z,83,70.88786416647199,89,129,92
2018-01-01T08:05:39Z,84,88.51302646365302,112,127,113
2018-01-01T08:05:40Z,85,79.85711832220667,135,129,135
2018-01-01T08:05:41Z,86,82.98437957650411,156,129,155
2018-01-01T08:05:42Z,87,78.07021592955036,175,130,175
2018-01-01T08:05:43Z,88,83.6240006405667,192,127,189
2018-01-01T08:05:44Z,89,81.38689191718564,208,127,204
2018-01-01T08:05:45Z,90,78.38227751795212,222,128,217
2018-01-01T08:05:46Z,91,76.82945352506715,233,128,228
2018-01-01T08:05:47Z,92,77.58692435511273,242,130,239
2018-01-01T08:05:48Z,93,77.78771921613183,249,129,244
2018-01-01T08:05:49Z,94,77.47726031798864,253,128,247
2018-01-01T08:05:50Z,95,79.95630356129212,254,126,247
2018-01-01T08:05:51Z,96,81.93307375929021,254,125,245
2018-01-01T08:05:52Z,97,79.24098410634032,250,127,244
2018-01-01T08:05:53Z,98,82.47291250145042,244,124,235
2018-01-01T08:05:54Z,99,78.7873505685024,236,127,230
2018-01-01T08:05:55Z,100,76.92431418391872,225,128,220
2018-01-01T08:05:56Z,101,74.60034466056534,212,125,205
2018-01-01T08:05:57Z,102,78.7693192163986,197,127,193
2018-01-01T08:05:58Z,103,80.74335268709969,179,127,176
2018-01-01T08:05:59Z,104,77.12768944281089,160,130,161
2018-01-01T08:06:00Z,105,86.40639018772724,140,129,140
2018-01-01T08:06:01Z,106,84.98532015374512,118,127,118
2018-01-01T08:06:02Z,107,79.38433265761249,95,129,97
2018-01-01T08:06:03Z,108,80.28175484633869,71,127,73
2018-01-01T08:06:04Z,109,79.30732979173108,46,127,50
2018-01-01T08:06:05Z,110,76.8289436765834,21,125,24
2018-01-01T08:06:06Z,111,87.11900439888849,4,128,10
2018-01-01T08:06:07Z,112,82.25251806574344,29,128,35
2018-01-01T08:06:08Z,113,73.10946699542268,54,126,56
2018-01-01T08:06:09Z,114,79.95482669143375,79,127,81
2018-01-01T08:06:10Z,115,83.36692385656951,103,126,103
2018-01-01T08:06:11Z,116,75.9695137705592,125,128,126
2018-01-01T08:06:12Z,117,78.77075117953474,147,126,145
2018-01-01T08:06:13Z,118,82.25076207501083,167,130,167
2018-01-01T08:06:14Z,119,83.34297481648075,185,128,183
2018-01-01T08:06:15Z,120,83.50104958456055,202,123,194
2018-01-01T08:06:16Z,121,78.41486842319547,216,125,210
2018-01-01T08:06:17Z,122,75.04343885726527,229,127,223
2018-01-01T08:06:18Z,123,76.72238370946282,239,126,231
2018-01-01T08:06:19Z,124,77.38255637627805,246,127,240
2018-01-01T08:06:20Z,125,81.12205441421902,251,129,247
2018-01-01T08:06:21Z,126,74.22339461582817,254,125,245
2018-01-01T08:06:22Z,127,79.48320452963418,254,129,250
2018-01-01T08:06:23Z,128,74.98714103355414,252,127,245
2018-01-01T08:06:24Z,129,78.16431201819057,247,127,241
2018-01-01T08:06:25Z,130,76.7488381315601,239,125,232
2018-01-01T08:06:26Z,131,79.09259742610563,230,129,226
2018-01-01T08:06:27Z,132,76.72782122382279,217,124,209
2018-01-01T08:06:28Z,133,79.44180130784592,203,126,198
2018-01-01T08:06:29Z,134,81.11785825955899,187,130,186
2018-01-01T08:06:30Z,135,80.99408576763057,169,124,163
2018-01-01T08:06:31Z,136,82.82795149323343,149,127,147
2018-01-01T08:06:32Z,137,74.12041301190015,127,128,128
2018-01-01T08:06:33Z,138,81.86373022229012,105,125,103
2018-01-01T08:06:34Z,139,80.73025802564597,81,125,81
2018-01-01T08:06:35Z,140,80.57947866788032,56,126,59
2018-01-01T08:06:36Z,141,75.58891862555423,31,127,35
2018-01-01T08:06:37Z,142,81.43726150649978,6,129,14
2018-01-01T08:06:38Z,143,82.05023772661283,19,131,27
2018-01-01T08:06:39Z,144,85.21022846637233,44,126,47
2018-01-01T08:06:40Z,145,79.67122350652885,69,128,72
2018-01-01T08:06:41Z,146,81.14519481720532,93,130,97
2018-01-01T08:06:42Z,147,80.70519531497155,116,127,116
2018-01-01T08:06:43Z,148,73.01699661636451,138,128,138
2018-01-01T08:06:44Z,149,80.37912769185004,0,127,5
2018-01-01T08:06:45Z,150,84.99038332574571,25,130,32
2018-01-01T08:06:46Z,151,73.85897189465678,50,130,56
2018-01-01T08:06:47Z,152,79.88788189255743,75,129,79
2018-01-01T08:06:48Z,153,77.11112111327246,99,126,99
2018-01-01T08:06:49Z,154,81.91300527061367,122,129,124
2018-01-01T08:06:50Z,155,88.0760216044347,143,125,140
2018-01-01T08:06:51Z,156,80.14236503139925,164,126,160
2018-01-01T08:06:52Z,157,82.19760298787943,182,127,180
2018-01-01T08:06:53Z,158,79.52616276932461,199,127,195
2018-01-01T08:06:54Z,159,79.33602977324213,214,132,214
2018-01-01T08:06:55Z,160,85.6464841963583,227,130,224
2018-01-01T08:06:56Z,161,86.32432244138482,237,129,234
2018-01-01T08:06:57Z,162,77.05487518228709,245,124,236
2018-01-01T08:06:58Z,163,80.03561859980098,251,128,245
2018-01-01T08:06:59Z,164,85.3983211517662,254,127,247
2018-01-01T08:07:00Z,165,74.08112153376021,254,131,251
2018-01-01T08:07:01Z,166,77.69019545619555,252,125,244
2018-01-01T08:07:02Z,167,82.60518352537831,248,129,243
2018-01-01T08:07:03Z,168,73.5372370939851,241,123,231
2018-01-01T08:07:04Z,169,74.73838407918835,231,127,225
2018-01-01T08:07:05Z,170,80.09609086797755,220,126,214
2018-01-01T08:07:06Z,171,82.26848125402708,206,126,201
2018-01-01T08:07:07Z,172,71.61619085495111,190,132,191
2018-01-01T08:07:08Z,173,83.61737455433857,172,130,172
2018-01-01T08:07:09Z,174,76.2163951364487,152,127,150
2018-01-01T08:07:10Z,175,78.93682420694095,131,129,132
2018-01-01T08:07:11Z,176,86.35317608752703,108,128,110
2018-01-01T08:07:12Z,177,81.56067575261208,85,128,87
2018-01-01T08:07:13Z,178,77.04882665290322,61,128,64
2018-01-01T08:07:14Z,179,81.20708875875773,35,129,41
2018-01-01T08:07:15Z,180,81.43228348931504,10,130,18
2018-01-01T08:07:16Z,181,80.05033969851976,14,129,21
2018-01-01T08:07:17Z,182,77.94160397293078,40,126,43
2018-01-01T08:07:18Z,183,80.50658720537045,65,127,67
2018-01-01T08:07:19Z,184,85.25693319241124,89,125,89
2018-01-01T08:07:20Z,185,81.1215303275262,112,129,115
2018-01-01T08:07:21Z,186,76.26843492051972,135,125,132
2018-01-01T08:07:22Z,187,77.84854183191469,156,127,154
2018-01-01T08:07:23Z,188,77.9014160082874,175,126,171
2018-01-01T08:07:24Z,189,84.46254290593077,192,128,190
2018-01-01T08:07:25Z,190,80.11502570744385,208,129,206
2018-01-01T08:07:26Z,191,82.3466791703396,222,127,217
2018-01-01T08:07:27Z,192,84.64339305399427,233,127,228
2018-01-01T08:07:28Z,193,78.43210451452299,242,129,238
